SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	CR2O3	FE2O3	FE2O3T	FEO	FEOT	NIO	MNO	MGO	CAO	NA2O	K2O	P2O5	BAO	LOI	H2O	H2O_M	H2O_P	SO3	V2O3	ZNO	FE	MN	NI	CO	CU	CD	ZN	AS	AG	S	AL	CA	MG	SR87_SR86	SR87_SR86_INI	RB87_SR86	ND143_ND144	SM147_ND144	PB206_PB204	PB207_PB204	PB208_PB204	BE10	BE10_BE9	SR87_SR86_INI	AR	AR39	AR40	AR38_AR36	AR40_AR36	AR40_AR39	LA	CE	PR	ND	SM	EU	GD	TB	DY	HO	ER	TM	YB	LU	CO2	F	CL	OH	U238_PB204	TH232_PB204	RA	AG	AL	AS	AU	B	BA	BE	BI	BR	C	CA	CD	CO	CR	CS	CU	GA	GER	HF	HG	I	INDIUM	K	LI	MG	MN	MO	NA	NB	NI	P	PB	PD	RB	RE	S	SB	SC	SE	SN	SR	TA	TE	TH	TI	TL	U	V	W	Y	ZN	ZR	TI	AS	AS	GER	H2O_M	H2O_P	H2O_M	H2O_P	INDIUM
080385-4		GEOROC	HICKEY-VARGAS, R.; HOLBIK, S.; TORMEY, D. R.; FREY, F. A.; MORENO-ROA, HUGO, 2016		-41.1	-72.493	0.01				igneous	volcanic	felsic	dacite		69.144	0.565	14.59					4.261		0.081	1.111	3.544	4.402	2.141	0.162											11	7.3			62																								26	61.9		29.2	6.65	1.1		1.12					4.33	0.67													550							7.3	344			16.5		7.2										6	11		18.9		69.1				11.9			190	0.5		8.6				43		42	62	282									
230483-3		GEOROC	HICKEY-VARGAS, R.; HOLBIK, S.; TORMEY, D. R.; FREY, F. A.; MORENO-ROA, HUGO, 2016		-41.1	-72.493	0.01				igneous	volcanic	felsic	dacite		63.541	0.796	16.427					5.973		0.121	1.732	5.136	4.562	1.46	0.252											10	11.7			101																								17	43.4		21.9	5.73	1.3		1.07					3.41	0.53													396							11.7	4	2.9		17.6		5.2										5	10		15.8		45.6				15.8			294	0.3		4.3				76		33	101	195									
PU-02-34		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5088	-72.206	0.01				igneous	volcanic	felsic	dacite		70.931	0.34	13.794					4.671		0.14	0.31	1.771	5.182	2.791	0.07		0.1									27	1	29		96							0.704129																	33	70.9	9.01	37.9	8.86	1.77	8.91	1.58	9.16	1.89	6.25	1.01	6.12	1.02													747							1		4.1	29	17		8.2										8	27		14		62			0.5				138	0.47		8.3			2.24			53.7	96	307									
PU-02-25		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5275	-72.1812	0.01				igneous	volcanic	felsic	dacite		70.047	0.688	14.039					4.367		0.11	0.638	2.154	5.195	2.612	0.15		0.03										4	77		119							0.704122																	32.8	69.5	8.21	36.5	8.66	1.76	7.96	1.44	8.87	1.87	5.56	0.9	5.87	0.92													776							4		4.9	77	19		8.4										7.9			23		73			0.7				161	0.55		9.18			2.55	14		54.7	119	342									
PU-02-20		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5675	-72.1743	0.01				igneous	volcanic	felsic	dacite		69.367	0.531	14.15					5.167		0.15	0.471	2.213	5.167	2.664	0.12		< 0.16										1	70		144																								29.5	53.5	7.61	33.2	7.82	1.98	6.71	1.19	7.23	1.48	4.49	0.76	5.13	0.8													692							1		1.1	70	20		8										7.7			32		66			0.7				197	0.48		8.82			2.37			39.8	144	308									
PU-02-26		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5202	-72.1635	0.01				igneous	volcanic	felsic	dacite		71.019	0.379	13.866					4.313		0.14	0.29	1.717	5.331	2.865	0.08		0.05									44	1	73		120							0.704128																	37	78	9.18	40.6	9.65	1.85	8.76	1.62	9.99	2.11	6.29	1.03	6.67	1.04													822							1	24	4.9	73	21		9.1										8.7	44		12		74			0.3				140	0.56		9.55			2.59			60.6	120	365									
GL (4-5 JUNE)		GEOROC	JAY, J.; COSTA, F. G.; PRITCHARD, M.; LARA, L. E.; SINGER, B. S.; HERRIN, J., 2014		-40.55	-72.15	0.01				igneous	volcanic	felsic	rhyodacite		72.302	0.421	13.698					3.079		0.09	0.351	1.574	5.535	2.948				3.9															66																																			221	808	1755									29.7		2.9																	48										79		66					117																				
PUY12-BLOCK		GEOROC	SCHIPPER, C. I.; CASTRO, J. M.; TUFFEN, H.; WADSWORTH, F. B.; CHAPPELL, D.; PANTOJA, A. E.; SIMPSON, M. P.; LE RU, E. C., 2015		-40.5078	-72.161	0.01				igneous	volcanic	felsic	rhyolite		76.14	0.641	11.401					2.708		0.071	0.081	0.478	3.379	4.988	0.112						0.01																																																0.09	0.31																																																																	
PU-03-27		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5758	-72.147	0.01		11.5		igneous	volcanic	felsic	dacite		67.25	0.607	14.569					6.323		0.162	0.637	2.631	5.079	2.59	0.152		< 0.09									16	2	16		99							0.704159																	28.1	60.4	7.76	33.1	7.7	1.9	7.72	1.34	7.71	1.6	5.13	0.78	5.01	0.83													661							2		3.6	16	16		6.4										6.8	16		15		57			0.4				196	0.4		6.83			1.84			45.6	99	264									
WR (4-5 JUNE)		GEOROC	JAY, J.; COSTA, F. G.; PRITCHARD, M.; LARA, L. E.; SINGER, B. S.; HERRIN, J., 2014		-40.55	-72.15	0.01				igneous	volcanic	felsic	rhyodacite		69.868	1.017	14.094					4.067		0.091	0.574	2.175	5.255	2.779	0.081																																																																																			30										69							166																				
PU-02-16		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5562	-72.1847	0.01				igneous	volcanic	felsic	dacite		70.055	0.644	14.092					4.238		0.111	0.594	2.094	5.244	2.788	0.141		0.02										3	65		109							0.704119																	35.1	73.2	8.47	37.4	8.8	1.81	8.18	1.45	8.83	1.87	5.51	0.92	5.89	0.91													728							3		4.7	65	18		8.6										8.1			19		72			0.6				153	0.52		8.7			2.38	10		53.6	109	340									
